Name;Country;Genre;YearOfProduction;LengthOfFilm;Translation;Subtitles;OriginalAudio;Director;Cast;Description;QualityOfVideo;FormatOfVideo;Video;Audio;PosterUrl
Обезьяны / Monos;Колумбия, Аргентина, Нидерланды, Германия, Швеция, Уругвай, США, Швейцария, Дания;триллер, драма;2019;01:42:35;Авторский (одноголосый закадровый) - Ю.Немахов;нет;нет;Алехандро Ландес / Alejandro Landes;София Буэнавентура, Джулиан Хиральдо, Карен Кинтеро, Лаура Кастрильон, Дейби Руэда, Пол Кубидес, Снейдер Кастро, Мойзес Ариас, Джулианна Николсон, Уилсон Салазар;Сюжет картины переносит нас в северную Колумбию, где происходят по-настоящему ужасные события. Группа молодых людей стараются выжить в непростых условиях. Однажды ребята решают захватить заложника и потребовать за его жизнь выкуп. Героям кажется, что это просто веселая игра, и в их действиях совершенно нет ничего плохого. Постепенно вчерашние мальчики и девочки полностью теряют контроль над своим разумом и превращаются в жестоких зверей.;BDRip | Monos.2019.BDRemux.TeamHD;AVI;720x304 (2.37:1), 24.000 fps, XviD build 73 ~1575 kbps avg, 0.30 bit/pixel;48 kHz, AC3 Dolby Digital, 3/2 (L,C,R,l,r) + LFE ch, ~448 kbps;https://b.radikal.ru/b31/2001/0e/1e7757b09b1e.jpg
Вивариум / Vivarium;Ирландия, Дания, Бельгия;фантастика, детектив;2019;01:38:34;;русские (forced);нет;Лоркан Финнеган / Lorcan Finnegan;Имоджен Путс, Даниэль Райан, Молли Макканн, Джесси Айзенберг, Джонатан Арис, Сенан Дженнингс, Инна Хардвик, Ольга Верли, Джек Хадсон, Майкл Макгьюн, Марк Куигли;В поисках идеального дома молодая пара знакомится со странным агентом по недвижимости. Он привозит их в новый поселок в пригороде, а затем исчезает. Том и Джемма с ужасом понимают, что они абсолютно одни в этом жутковато-стерильном лабиринте одинаковых домов и что из него нет выхода. Вскоре их одиночество будет прервано появлением у дверей коробки с младенцем, который похож на человека лишь внешне…;;AVI;720x304 (2.37:1), 23.976 fps, XviD build 73 ~1722 kbps avg, 0.33 bit/pixel;48 kHz, AC3 Dolby Digital, 3/2 (L,C,R,l,r) + LFE ch, ~384 kbps;https://a.radikal.ru/a31/2003/60/ac4284f2271d.jpg
Тело Христово / Boze Cialo;Польша;драма;2019;01:54:59;;нет;нет;Ян Комаса / Jan Komasa;Бартош Беленя, Александра Конечна, Элиза Рыцембель, Томаш Зетэк, Барбара Кужай, Лешек Лихота, Здзисвав Вардейн, Лукаш Симлат, Анна Берначик, Лидия Богач;20-летний Даниэль, переживший в заключении духовное перерождение, мечтает посвятить себя служению богу, однако судимость за плечами этому препятствует. Воспользовавшись случаем, он выдает себя за выпускника семинарии и занимает место заболевшего пастора в приходе небольшого провинциального городка. Зачастую импровизируя и замещая недостаток знаний в литургии искренностью и неподдельной страстью, он невольно становится центром притяжения и умиротворения для местной паствы, расколотой и разобщенной вследствие недавней трагедии. Но ни одно доброе дело не остается безнаказанным.;;AVI;720x304 (2.37:1), 24.000 fps, XviD build 73 ~1421 kbps avg, 0.27 bit/pixel;48 kHz, AC3 Dolby Digital, 3/2 (L,C,R,l,r) + LFE ch, ~384 kbps;https://b.radikal.ru/b08/2002/6c/0916209d71ca.jpg
Переводчики / Les traducteurs;Франция, Бельгия;триллер;2019;01:45:00;;нет;нет;Режис Руансар / Régis Roinsard;;Девять переводчиков работают в секретном бункере над последней частью самого нашумевшего бестселлера. Их изолировали, чтобы не допустить утечки ожидаемой новинки в интернет. Но она все-таки произошла...;BDRip | Les.Traducteurs.2019.BDREMUX.1080p.seleZen;AVI;720x304 (2.37:1), 24.000 fps, XviD build 73 ~1596 kbps avg, 0.30 bit/pixel;48 kHz, AC3 Dolby Digital, 3/2 (L,C,R,l,r) + LFE ch, ~384 kbps;https://b.radikal.ru/b36/2006/16/ebf4cbf8d964.png
Кошки / Cats;Великобритания, США;мюзикл, фэнтези, драма, комедия;2019;01:49:57;;русские (forced, full), английские;английский;Том Хупер / Tom Hooper;Тейлор Свифт, Франческа Хэйуорд, Идрис Эльба, Джуди Денч, Иэн МакКеллен, Ребел Уилсон, Джеймс Корден, Метте Таули, Рэй Уинстон, Лори Дэвидсон, Роберт Фэйрчайлд, Дженнифер Хадсон;На ежегодный кошачий бал собираются кошки из Племени избранных из разных уголков земли. Все они разные: породистые и беспородные, юные и старые, домашние любимцы и бездомные. Когда они собираются вместе, каждая кошка рассказывает о себе - чем же она так исключительна, и за что её можно считать избранной.;;AVI;720x304 (2.37:1), 23.976 fps, XviD build 73 ~1993 kbps avg, 0.38 bit/pixel;;https://c.radikal.ru/c27/2003/56/d7e34a270b5b.jpg
Того / Togo;США;драма;2019;01:53:00;"Любительский (многоголосый закадровый) | <span class=""post-b""><span class=""p-color"" style=""color: darkblue;"">HDRezka Studio</span></span><br/><span class=""post-b"">Субтитры</span>: русские (forced), английские (full, SDH)<br/><span class=""post-b"">Оригинальная аудиодорожка</span>: английский<br/><span class=""post-b"">Режиссер</span>:<br/>Эриксон Кор / Ericson Core<br/><span class=""post-b"">В ролях</span>:<br/>Уиллем Дефо, Джулианна Николсон, Кристофер Хейердал, Ричард Дормер, Эдриан Дорваль, Madeline Wickins, Майкл Грейес, Нив Нилсен, Николай Николаефф, Торбьорн Харр<br/><span class=""post-b"">Описание</span>: Пёс Того в 1928 году помог предотвратить эпидемию дифтерии в городе Ном, Аляска. В упряжке с другими ездовыми собаками Того, несмотря на страшные погодные условия, смог доставить в город посылку с антитоксином, остановившим распространение болезни.<br/><br/><span class=""post-b"">Качество видео</span>: WEB-DLRip<br/><span class=""post-b"">Формат видео</span>: AVI<span class=""post-br""><br/></span><span class=""post-b"">Видео</span>: 704x352 (2.00:1), 23.976 fps, XviD build 73 ~1984 kbps avg, 0.33 bit/pixel<br/><span class=""post-b"">Аудио 1</span>: 48 kHz, AC3 Dolby Digital, 3/2 (L,C,R,l,r) + LFE ch, ~384 kbps | <span class=""post-b""><span class=""p-color"" style=""color: darkblue;"">RUS</span></span><br/><span class=""post-b"">Аудио 2</span>: 48 kHz, AC3 Dolby Digital, 3/2 (L,C,R,l,r) + LFE ch, ~384 kbps | ENG";русские (forced), английские (full, SDH);английский;Эриксон Кор / Ericson Core;;Пёс Того в 1928 году помог предотвратить эпидемию дифтерии в городе Ном, Аляска. В упряжке с другими ездовыми собаками Того, несмотря на страшные погодные условия, смог доставить в город посылку с антитоксином, остановившим распространение болезни.;;AVI;704x352 (2.00:1), 23.976 fps, XviD build 73 ~1984 kbps avg, 0.33 bit/pixel;;https://c.radikal.ru/c05/1912/54/94b419b334f6.jpg
1917 / 1917;Великобритания, США;военный, история, драма;2019;01:58:58;;русские (forced, full), английские (full, SDH);английский;Сэм Мендес / Sam Mendes;Эндрю Скотт, Бенедикт Камбербэтч, Колин Фёрт, Ричард Мэдден, Дин-Чарльз Чепмен, Джордж МакКэй, Марк Стронг, Дэниэл Мейс, Эдриан Скарборо, Крис Уолли, Пип Картер, Энди Аполло, Пол Тинто, Джозеф Дэвис, Билли Постлтуэйт, Гэбриел Акувудике;1917 год, разгар Первой мировой войны. Двум юным солдатам поручают смертельно опасную миссию. Они должны пересечь вражескую территорию и доставить секретное сообщение, которое предотвратит неминуемую гибель сотен солдат… Смогут ли они выиграть гонку со временем?;BDRip | 1917.2019.1080p.BluRay.REMUX.AVC.Atmos.TrueHD7.1-iFT;AVI;720x304 (2.37:1), 23.976 fps, XviD build 73 ~1846 kbps avg, 0.35 bit/pixel;;https://a.radikal.ru/a13/2003/fd/a098c7383013.png
Джентльмены / The Gentlemen;США;боевик, комедия, криминал;2019;01:53:40;;русские (forced, full), английские (full, SDH);английский;Гай Ричи / Guy Ritchie;;Один ушлый американец ещё со студенческих лет приторговывал наркотиками, а теперь придумал схему нелегального обогащения с использованием поместий обедневшей английской аристократии и очень неплохо на этом разбогател. Другой пронырливый журналист приходит к Рэю, правой руке американца, и предлагает тому купить киносценарий, в котором подробно описаны преступления его босса при участии других представителей лондонского криминального мира — партнёра-еврея, китайской диаспоры, чернокожих спортсменов и даже русского олигарха.;BDRip | The.Gentlemen.2020.BDREMUX.1080p.seleZen;AVI;720x304 (2.37:1), 23.976 fps, XviD build 73 ~1901 kbps avg, 0.36 bit/pixel;;https://b.radikal.ru/b30/2004/5d/6943ce22e819.png
Звёздные войны: Скайуокер. Восход / Star Wars: Episode IX - The Rise of Skywalker;США;фантастика, фэнтези, боевик, приключения;2019;02:21:52;;русские, английские;английский;Джей Джей Абрамс / J.J. Abrams;Дэйзи Ридли, Адам Драйвер, Кэрри Фишер, Марк Хэмилл, Джон Бойега, Оскар Айзек, Энтони Дэниелс, Наоми Аки, Донал Глисон, Ричард Э. Грант, Лупита Нионго, Кери Рассел, Йонас Суотамо, Келли Мари Трэн, Иен Макдермид, Билли Ди Уильямс;Фильм завершает невероятную историю семьи Скайуокеров, длящуюся уже более сорока лет, и обещает дать ответы на все загадки из предыдущих серий. Зрителя ожидают старые и новые герои, уникальные миры, увлекательные путешествия на край Галактики и грандиозный финал фантастической саги.;BDRip | Star.Wars.Episode.IX.The.Rise.of.Skywalker.2019.1080p.BluRay.REMUX.AVC.DTS-HD.MA.7.1-FGT;AVI;720x304 (2.37:1), 23.976 fps, XviD build 73 ~2095 kbps avg, 0.40 bit/pixel;;https://c.radikal.ru/c05/2003/5e/34c2a365c171.jpg
Кролик Джоджо / Jojo Rabbit;Чехия, США, Новая Зеландия;драма, комедия, военный;2019;01:48:23;"Профессиональный (многоголосый закадровый) | <span class=""post-b""><span class=""p-color"" style=""color: darkgreen;"">Good People</span></span><br/><span class=""post-b"">Субтитры</span>: русские, английские<br/><span class=""post-b"">Оригинальная аудиодорожка</span>: английский<br/><span class=""post-b"">Режиссер</span>: Тайка Вайтити / Taika Waititi<br/><span class=""post-b"">В ролях</span>: Роман Гриффин Дэвис, Томасин МакКензи, Скарлетт Йоханссон, Тайка Вайтити, Сэм Рокуэлл, Ребел Уилсон, Алфи Аллен, Стивен Мерчант, Арчи Йейтс, Люк Шуфилд, Станислав Каллас, Джо Вайнтрауб, Брайан Каспе, Гэбриел Эндрюс, Кертис Мэттью, Роберт Ист<br/><span class=""post-b"">Описание</span>: Неловкий и нескладный 10-летний немецкий мальчик, потерявший отца, пытается найти своё место в непривычном мире. Ровесники лишь потешаются над ним, а мама считает, что ребёнок сам придумывает себе проблемы. В надежде получить замену пропавшего отца мальчик придумывает себе воображаемого друга — Адольфа Гитлера, который совсем не похож на знакомого всем фюрера Третьего рейха. Ситуация только осложняется, когда мальчик обнаруживает, что его мать прячет в доме еврейскую девочку.<br/><br/><span class=""post-b"">Качество видео</span>: WEB-DLRip<br/><span class=""post-b"">Формат видео</span>: AVI<span class=""post-br""><br/></span><span class=""post-b"">Видео</span>: 704x384 (1.83:1), 23.976 fps, XviD build 73 ~2098 kbps avg, 0.32 bit/pixel<br/><span class=""post-b"">Аудио 1</span>: 48 kHz, AC3 Dolby Digital, 3/2 (L,C,R,l,r) + LFE ch, ~384 kbps | <span class=""post-b""><span class=""p-color"" style=""color: darkgreen;"">RUS</span></span><br/><span class=""post-b"">Аудио 2</span>: 48 kHz, AC3 Dolby Digital, 3/2 (L,C,R,l,r) + LFE ch, ~384 kbps | ENG";русские, английские;английский;;Роман Гриффин Дэвис, Томасин МакКензи, Скарлетт Йоханссон, Тайка Вайтити, Сэм Рокуэлл, Ребел Уилсон, Алфи Аллен, Стивен Мерчант, Арчи Йейтс, Люк Шуфилд, Станислав Каллас, Джо Вайнтрауб, Брайан Каспе, Гэбриел Эндрюс, Кертис Мэттью, Роберт Ист;Неловкий и нескладный 10-летний немецкий мальчик, потерявший отца, пытается найти своё место в непривычном мире. Ровесники лишь потешаются над ним, а мама считает, что ребёнок сам придумывает себе проблемы. В надежде получить замену пропавшего отца мальчик придумывает себе воображаемого друга — Адольфа Гитлера, который совсем не похож на знакомого всем фюрера Третьего рейха. Ситуация только осложняется, когда мальчик обнаруживает, что его мать прячет в доме еврейскую девочку.;;AVI;704x384 (1.83:1), 23.976 fps, XviD build 73 ~2098 kbps avg, 0.32 bit/pixel;;https://d.radikal.ru/d11/2005/d7/69b4356f5216.jpg
Однажды в… Голливуде / Once Upon a Time ... in Hollywood;;;;;;;;;;;;;;;https://i111.fastpic.ru/big/2019/1123/b3/416688738f3dab65517bdc7679b9b1b3.jpg
Утойя, 22 июля / Utøya 22. juli;Норвегия;триллер, драма;2018;01:32:59;;нет;нет;Эрик Поппе / Erik Poppe;;22 июля 2011 года пятьсот молодых людей, присутствовавших в летнем лагере на норвежском острове Утёйа, подверглись нападению вооружённого правого экстремиста Андерса Брейвика. В объективе камеры — 19-летняя Кайя, которая здесь проводит время со своей младшей сестрой Эмили. Сёстры ссорятся, потому что Эмили не нравится в лагере, но внезапно раздаётся первый выстрел.;BDRip | Utøya 22. juli 2018 1080p Blu-ray AVC DTS-HD MA 7.1-CultFilms;AVI;720x384 (1.88:1), 25 fps, XviD build 73 ~1784 kbps avg, 0.26 bit/pixel;48 kHz, AC3 Dolby Digital, 3/2 (L,C,R,l,r) + LFE ch, ~448 kbps;https://b.radikal.ru/b15/2005/21/3bbb52a08220.jpg
Дело Коллини / Der Fall Collini;Германия;триллер, драма, криминал;2019;02:02:47;;нет;нет;;Франко Неро, Александра Мария Лара, Элиас ЭмБарек, Яннис Нивёнер, Ханнес Вегенер, Хайнер Лаутербах, Стефано Кассетти, Манфред Цапатка, Пиа Стутценштайн, Эксел Мусташ;Каспару Лайнену предстоит расследовать запутанное дело непримечательного механика, итальянца Фабрицио Коллини, который на первый взгляд безо всяких мотивов убил немецкого бизнесмена Ханса Майера, после чего сам сдался полиции. Положение вещей осложняется не только молчанием Коллини и более опытным адвокатом, претендующим на пост главного героя, но и его личным причастием к делу: внучка жертвы Йоханна была его юношеской любовью. Однако Лайнену случайно удаётся найти зацепку, благодаря которой он понимает, что столкнулся с крупнейшим судебным скандалом Германии.;BDRip | Der.Fall.Collini.2019.1080p.Remux.AVC.DTS-HR.5.1;AVI;720x304 (2.37:1), 24 fps, XviD build 73 ~1309 kbps avg, 0.25 bit/pixel;48 kHz, AC3 Dolby Digital, 3/2 (L,C,R,l,r) + LFE ch, ~384 kbps;https://c.radikal.ru/c34/2001/21/d1be16e20db5.png
Ирландец / The Irishman;США;драма, криминал, биография;2019;03:29:26;;русские, английские;английский;Мартин Скорсезе / Martin Scorsese;;;;AVI;720x384 (1.88:1), 24.000 fps, XviD build 73 ~1410 kbps avg, 0.21 bit/pixel;;https://b.radikal.ru/b12/1911/83/2b404a99a1e2.jpg
Ад на границе / Hell on the Border;США;приключения, вестерн, биография;2019;01:50:06;;русские;нет;Уэс Миллер / Wes Miller;;;;AVI;720x304 (2.37:1), 23.976 fps, XviD build 73 ~1503 kbps avg, 0.29 bit/pixel;48 kHz, AC3 Dolby Digital, 3/2 (L,C,R,l,r) + LFE ch, ~384 kbps;https://d.radikal.ru/d24/2008/7c/33a45edc3f7d.jpg
Оно 2 / It Chapter Two;Канада, США;ужасы, фэнтези, драма;2019;02:49:25;;русские, английские;английский;Андрес Мускетти / Andres Muschietti;;;BDRip | IT_CHAPTER_TWO_2019_RMX_BLUEBIRD;AVI;720x304 (2.37:1), 23.976 fps, XviD build 73 ~1685 kbps avg, 0.32 bit/pixel;;https://c.radikal.ru/c34/1912/ac/ceffecba91ad.jpg
Взрослеть на полную / Отвязная юность / Big Time Adolescence;США;драма, комедия;2019;01:30:48;;русские (forced);нет;Джейсон Орли / Jason Orley;;;;AVI;720x384 (1.88:1), 24.000 fps, XviD build 73 ~1838 kbps avg, 0.28 bit/pixel;48 kHz, AC3 Dolby Digital, 3/2 (L,C,R,l,r) + LFE ch, ~448 kbps;https://a.radikal.ru/a42/2008/33/8a4d7cb70b2e.jpg
Морские паразиты / Sea Fever;Ирландия, США, Великобритания, Швеция, Бельгия;ужасы, фантастика;2019;01:34:13;;нет;нет;Ниса Хардиман / Neasa Hardiman;;Изучающая биологию и природные аномалии студентка Шивон отправляется проходить практику на рыболовецкое судно. Поездка обещает принести новые впечатления и богатый материал для научных исследований. Однако корабль под управлением капитана и его жены оказывается в «запретной зоне». Команде предстоит столкнуться с неизведанным и опасным морским чудовищем… Судьба всех находящихся на борту внезапно оказывается в руках студентки. Сумеет ли Шивон что-то предпринять, прежде чем экипаж в полном составе отправится на тот свет?;BDRip | Sea.Fever.2019.COMPLETE.BLURAY-VEXHD;AVI;688x288 (2.39:1), 23.976 fps, XviD build 73 ~966 kbps avg, 0.20 bit/pixel;48 kHz, MPEG Layer 3, 2 ch, ~128.00 kbps avg;https://c.radikal.ru/c26/2008/2e/358f5e0309b5.jpg
Медиум / Очень странная девушка / Luz;Германия;ужасы, триллер, детектив;2018;01:10:33;;нет;немецкий;Тильман Сингер / Tilman Singer;Луана Велис, Йоханнес Бенеке, Ян Блютхардт, Лилли Лоренц, Юлия Ридлер, Надя Штюбигер;Спасаясь от чего-то неведомого, Лус прибегает ночью в полицейский участок. За девушкой давно охотится нечто демоническое и сейчас, вселившись в психолога, вызванного для работы с Лус, подбирается максимально близко.;BDRip | LUZ_2018_BLUEBIRD;AVI;720x304 (2.37:1), 24.000 fps, XviD build 73 ~2109 kbps avg, 0.40 bit/pixel;;https://d.radikal.ru/d26/2008/6f/0de72ad42c1f.png
Морские паразиты / Sea Fever;Ирландия, США, Великобритания, Швеция, Бельгия;ужасы, фантастика;2019;01:34:13;;нет;нет;Ниса Хардиман / Neasa Hardiman;;Изучающая биологию и природные аномалии студентка Шивон отправляется проходить практику на рыболовецкое судно. Поездка обещает принести новые впечатления и богатый материал для научных исследований. Однако корабль под управлением капитана и его жены оказывается в «запретной зоне». Команде предстоит столкнуться с неизведанным и опасным морским чудовищем… Судьба всех находящихся на борту внезапно оказывается в руках студентки. Сумеет ли Шивон что-то предпринять, прежде чем экипаж в полном составе отправится на тот свет?;BDRip | Sea.Fever.2019.COMPLETE.BLURAY-VEXHD;AVI;720x304 (2.37:1), 23.976 fps, XviD build 73 ~1822 kbps avg, 0.35 bit/pixel;48 kHz, AC3 Dolby Digital, 3/2 (L,C,R,l,r) + LFE ch, ~384 kbps;https://b.radikal.ru/b13/2008/71/6c0bade2e8eb.png
Да здравствует Цезарь! / Hail, Caesar!;;;;;;;;;;;;;;;http://pics.ivbt.ru/u/a/7193/87fa9b2c2632a1d9dc70226db6146fd153a8dfea.png
К звёздам / Ad Astra;Китай, Бразилия, США;фантастика, триллер, драма, детектив, приключения;2019;02:03:02;;русские (forced);нет;;Брэд Питт, Томми Ли Джонс, Рут Негга, Дональд Сазерленд, Кимберли Элиз, Лорен Дин, Донни Кешаварц, Шон Блейкмор, Бобби Ниш, Лиза Гэй Хэмилтон, Джон Финн, Джон Ортис, Фреда Фо Шен, Кайла Адамс, Рави Капур;Недалёкое будущее. Несколько лет назад человечество запустило программу поиска внеземной жизни «Проект «Лима»», во главе которой стоял капитан Клиффорд Макбрайд. Последний сигнал экспедиции был зафиксирован в районе Нептуна, и с тех пор о её судьбе ничего не было известно. Сам капитан Макбрайд стал героем и самым известным космонавтом, вдохновившим многих на исследование космоса. Через 16 лет после исчезновения «Проекта «Лима»» на Земле начинают происходить странные вспышки энергии, выводящие из строя электросистемы и сеящие хаос и разрушения. По данным американского космического агентства сигнал идёт с Нептуна, и теперь сыну знаменитого космонавта, майору Рою Макбрайду, поручается ответственная миссия. Он должен добраться до марсианской базы и оттуда попытаться связаться с предположительно живым отцом.;BDRip | AD_ASTRA_2019_RMX_BLUEBIRD;AVI;720x304 (2.37:1), 23.976 fps, XviD build 73 ~1303 kbps avg, 0.25 bit/pixel;48 kHz, AC3 Dolby Digital, 3/2 (L,C,R,l,r) + LFE ch, ~384 kbps;https://b.radikal.ru/b11/1912/40/0a8adf512bd3.jpg
На грани смерти / Pushing Dead;США;драма, комедия;2016;01:50:38;;нет;нет;Том Э. Браун / Tom E. Brown;;ВИЧ-инфицированный писатель, испытывающий финансовые сложности, случайно кладёт на банковский счёт сто долларов и лишается медицинской страховки из-за слишком высокого уровня дохода. Рутинная ошибка бюрократической машины оставляет его без жизненно необходимых лекарств. Спасти его может только чудо.;;AVI;720x304 (2.37:1), 23.976 fps, XviD build 73 ~1492 kbps avg, 0.28 bit/pixel;48 kHz, AC3 Dolby Digital, 3/2 (L,C,R,l,r) + LFE ch, ~384 kbps;https://d.radikal.ru/d24/2008/f8/fa5bd43d1cc0.jpg
Дед, привет! / Удачи тебе, Ворчун / Ilosia aikoja, Mielensäpahoittaja;Финляндия;драма, комедия;2018;01:56:09;;нет;нет;Тийна Люми / Tiina Lymi;;Ворчун хочет умереть, потому что вся работа уже проделана и смысл жизни пропал. Но вместе с мрачными мыслями к нему неожиданно приходит новая забота. Его 17-летняя внучка София оказалась в беде, и остро нуждается в упрямстве и мудрости своего деда. Так Ворчун обретает новый смысл жизни и желание раскрыть тайну. Колючий, как еж, старик и молодая городская девушка собираются вместе. Две половинки целого готовы слиться воедино.;BDRip | DED_PRIVET_2018_RMX_BLUEBIRD;AVI;720x304 (2.37:1), 23.976 fps, XviD build 73 ~1405 kbps avg, 0.27 bit/pixel;48 kHz, AC3 Dolby Digital, 3/2 (L,C,R,l,r) + LFE ch, ~384 kbps;https://a.radikal.ru/a20/2008/fa/9e12cbddc2fb.png
Космос / Cosmos;;;;;;;;;;;;;;;https://c.radikal.ru/c35/2007/e1/5ca11aa1e9ba.jpg
Пиноккио / Pinocchio;Италия, Франция, Великобритания;фэнтези, драма;2019;02:04:59;;русские, английские;итальянский;;Роберто Бениньи, Федерико Иелапи, Рокко Папалео, Массимо Чеккерини, Марин Вакт, Джиджи Пройетти, Алида Бальдари Калабрия, Алессио Ди Доменикантонио, Мария Пиа Тимо, Давиде Маротта;Одинокий нищий столяр Джеппетто, сидящий без работы в провинциальном городке, решает смастерить куклу. Знакомый дарит ему подозрительное полено, и вот на свет появляется Пиноккио, деревянный мальчик, которого счастливый Джеппетто объявляет своим сыном... Невероятное путешествие в мир удивительных созданий и волшебства, где даже деревянная кукла может стать настоящим человеком, если пожелает этого чистым сердцем.;BDRip | PINOCCIO_2019_RMX_BLUEBIRD;AVI;720x304 (2.37:1), 24.000 fps, XviD build 73 ~1719 kbps avg, 0.33 bit/pixel;;https://c.radikal.ru/c19/2006/f6/3b7888f75476.png
Жизнь на перемотке / Play;Франция;мелодрама, комедия;2019;01:47:53;;нет;нет;Антони Марсьяно / Anthony Marciano;;Что если можно было бы отмотать свою жизнь на 25 лет назад, заново пережить все самые яркие события и получить заряд ностальгии? Когда Максу в 13 лет подарили его первую видеокамеру, он не мог представить, что это положит начало невероятно трогательной, смешной и такой знакомой всем нам хронике от 90-х до 2010-х.;;AVI;720x400 (1.80:1), 24.000 fps, XviD build 73 ~1545 kbps avg, 0.22 bit/pixel;48 kHz, AC3 Dolby Digital, 3/2 (L,C,R,l,r) + LFE ch, ~384 kbps;https://b.radikal.ru/b17/2006/2f/e35f119ba0d1.jpg
Терминатор: Темные судьбы / Terminator: Dark Fate;;;;;;;;;;;;;;;https://b.radikal.ru/b41/2001/47/1e646978e311.jpg
Помилование / Clemency;США;драма;2019;"01:52:04<span class=""post-br"">";;русские, английские;английский;Чинонье Чукву / Chinonye Chukwu;;Начальницу тюрьмы Бернадин Уильямс начинают тяготить многочисленные смертные приговоры, приведённые в исполнение. Всё меняется с появлением очередного заключенного, ожидающего казни. Общаясь с ним, Уильямс понимает, что её работа сказалась на её эмоциональном и психическом здоровье.;;AVI;720x304 (2.37:1), 24.000 fps, XviD build 73 ~1469 kbps avg, 0.28 bit/pixel;48 kHz, AC3 Dolby Digital, 3/2 (L,C,R,l,r) + LFE ch, ~384 kbps;https://d.radikal.ru/d35/2006/f0/9556a0ef0c6c.jpg
Полицейский седан / Crown Vic;;;;;;;;;;;;;;;https://c.radikal.ru/c39/2007/31/54038b938de2.png
К звёздам / Ad Astra;Китай, Бразилия, США;фантастика, триллер, драма, детектив, приключения;2019;02:03:02;;русские, украинские, английские;английский;;Брэд Питт, Томми Ли Джонс, Рут Негга, Дональд Сазерленд, Кимберли Элиз, Лорен Дин, Донни Кешаварц, Шон Блейкмор, Бобби Ниш, Лиза Гэй Хэмилтон, Джон Финн, Джон Ортис, Фреда Фо Шен, Кайла Адамс, Рави Капур;Недалёкое будущее. Несколько лет назад человечество запустило программу поиска внеземной жизни «Проект «Лима»», во главе которой стоял капитан Клиффорд Макбрайд. Последний сигнал экспедиции был зафиксирован в районе Нептуна, и с тех пор о её судьбе ничего не было известно. Сам капитан Макбрайд стал героем и самым известным космонавтом, вдохновившим многих на исследование космоса. Через 16 лет после исчезновения «Проекта «Лима»» на Земле начинают происходить странные вспышки энергии, выводящие из строя электросистемы и сеящие хаос и разрушения. По данным американского космического агентства сигнал идёт с Нептуна, и теперь сыну знаменитого космонавта, майору Рою Макбрайду, поручается ответственная миссия. Он должен добраться до марсианской базы и оттуда попытаться связаться с предположительно живым отцом.;BDRip | AD_ASTRA_2019_RMX_BLUEBIRD;AVI;720x304 (2.37:1), 23.976 fps, XviD build 73 ~2358 kbps avg, 0.45 bit/pixel;;https://c.radikal.ru/c27/1912/23/2c8e874e0aad.png
Код Красный / Red Joan;Великобритания;драма, мелодрама, биография;2018;01:40:56;;нет;нет;;Джуди Денч, Софи Куксон, Стивен Кэмпбелл Мур, Том Хьюз, Лоуренс Спэллман, Тереза Србова, Бен Майлз, Робин Соанс, Кевин Фуллер, Стефен Боксер, Фредди Гаминара;Реальная история русской шпионки, которая предотвратила Третью мировую войну. Британская разведка долгие годы гонялась за ней, ее имя стало легендой, но о ее подвиге мы узнали только сейчас, когда был снят гриф секретности.;BDRip | READ_JOAN_2018_RMX_BLUEBIRD;AVI;720x304 (2.37:1), 24.000 fps, XviD build 73 ~1672 kbps avg, 0.32 bit/pixel;48 kHz, AC3 Dolby Digital, 3/2 (L,C,R,l,r) + LFE ch, ~384 kbps;https://i1.imageban.ru/out/2019/08/13/7804dd9faaad1bc2f83b7df94ec94e16.png
Живи дважды, люби один раз / Vivir dos veces / Live Twice, Love Once;;;;;;;;;;;;;;;https://d.radikal.ru/d42/2007/0f/ea488d7eb367.jpg
Опасный элемент / Radioactive;Великобритания, Венгрия, Китай, Франция, США;биография, драма, мелодрама;2019;01:49:45;Профессиональный (многоголосый закадровый) | Pazl Voice;английские (Full, SDH);английский;Маржан Сатрапи / Marjane Satrapi;;;;AVI;720x304 (2.37:1), 23.976 fps, XviD build 73 ~1938 kbps avg, 0.37 bit/pixel;;https://a.radikal.ru/a42/2008/64/4bb350ebe016.jpg
Раскопки / The Dig;Ирландия, Великобритания;триллер;2018;01:37:21;;нет;нет;;Френсис Маджи, Мо Данфорд, Лоркан Кранич, Эмили Тааффе, Katherine Devlin;Отсидев 15 лет за убийство, Каллахан возвращается в пустой дом и узнает, что отец убитой все это время пытался найти тело своей дочери, уверенный, что убийца закопал ее в торфе недалеко от дома. Кажется, единственный путь избавиться от назойливого старика — помочь в раскопках.;;AVI;720x304 (2.37:1), 24.000 fps, XviD build 73 ~1938 kbps avg, 0.37 bit/pixel;48 kHz, AC3 Dolby Digital, 2/0 (L,R) ch, ~192 kbps;https://i1.imageban.ru/out/2019/07/13/94009782fb519f7388c6b5e35c96b2a6.png
