Name;Country;Genre;YearOfProduction;LengthOfFilm;Translation;Subtitles;OriginalAudio;Director;Cast;Description;QualityOfVideo;FormatOfVideo;Video;Audio;PosterUrl
Мёртвый муравей / Dead Ant;США;комедия;2017;01:27:31;;нет;нет;;Том Арнольд, Шон Эстин, Мартин Бласик, Наташа Бласик, Джейк Бьюзи, Мишель Кэмпбелл, Анджелика Читвуд, Эварт Чин, Леонэль Клод, Рис Койро;"В центре сюжета оказывается рок-группа ""Sonic Grave"", выпустившая в конце 80-х всего один хит, которая отчаянно хочет попасть на музыкальный фестиваль. По дороге участники группы останавливаются возле фруктового лотка, которым владеет Бигфут — коренной американец, продающий наркотики туристам. Путешественники покупают запрещенные вещества, но индеец предупреждает их, что они попадут под действие проклятия, если убьют любое живое существо под действием наркотиков в священном месте. Не поверив словам старого отшельника, той же ночью музыканты убивают несколько насекомых. А утром из-под земли появляются огромные муравьи, готовые уничтожить всё на своем пути...";;AVI;704x288 (2.44:1), 23.976 fps, XviD build 73 ~2180 kbps avg, 0.45 bit/pixel;48 kHz, AC3 Dolby Digital, 2/0 (L,R) ch, ~192 kbps;https://i3.imageban.ru/out/2019/02/26/bfbadc9e60f0a1f6773bfea6b17bd8a9.jpg
Chicago International Film Festival, Чикаго, США, 2018:;;;;;;;;;;;;;;;https://c.radikal.ru/c19/1911/77/16ef6377171e.jpg
Ты водишь! / Tag;США;комедия;2018;01:40:33;;нет;нет;;Эд Хелмс, Джереми Реннер, Джон Хэмм, Джейк Джонсон, Хэннибал Бёресс, Аннабелль Уоллис, Айла Фишер, Рашида Джонс, Лил Релл, Нора Данн;Каждый год в течение месяца пятеро друзей участвуют в беспощадно навороченной версии игры в кошки-мышки. Они играют в нее с первого класса, чтобы, рискуя собственной шеей, работой и отношениями, одолеть противника с победоносным криком: «Ты водишь!»;;;;;https://i4.imageban.ru/out/2018/09/06/cfda73b4f2fa0379358ae375fcd4184e.png
"Доктор Стрэндж / Doctor Strange
«За гранью сознания лежит новая реальность»";;;;;;;;;;;;;;;http://i90.fastpic.ru/big/2017/0128/dc/259b0abefe838b9816873410833abcdc.png
Большая игра / Molly's Game;;;;;;;;;;;;;;;http://i102.fastpic.ru/big/2018/0328/70/d0591c7d2e6bcd57e4cf57c7d28d2b70.png
Годзилла 2: Король монстров / Godzilla: King of the Monsters;США, Япония;фантастика, фэнтези, боевик, приключения;2019;02:11:42;;русские, английские, украинские;английский;;Кайл Чандлер, Вера Фармига, Милли Бобби Браун, Кэн Ватанабэ, Цзыи Чжан, Брэдли Уитфорд, Салли Хокинс, Чарльз Дэнс, Томас Миддлдитч, Аиша Хайндс, О`Ши Джексон мл., Дэвид Стрэтэйрн, Энтони Рамос, Элизабет Ладлоу, Джонатан Ховард, Си Си Эйч Паундер, Джо Мортон, Тайлер Крумли, Келли Гарнер;История рассказывает о героических усилиях криптозоологического агентства «Монарх» по сдерживанию гигантских монстров. В этот раз против могучего Годзиллы выступают Мотра, Родан и ультимативный кайдзю - трёхголовый монстр Кинг Гидора. Когда эти древние суперхищники, со временем превратившиеся в полузабытые мифы, восстают снова, чтобы сойтись в схватке, человечеству остаётся отойти в сторонку и постараться не погибнуть.;BDRip | Godzilla.King.of.the.Monsters.2019.BDRemux.TeamHD;AVI;720x304 (2.37:1), 23.976 fps, XviD build 73 ~1594 kbps avg, 0.30 bit/pixel;;https://i1.imageban.ru/out/2019/08/19/680ecc876861b728e4c1a580bafdf380.jpg
Легенда о призрачном кинжале / Benjamin Falck and the Ghost Dagger;Норвегия;приключения;2019;01:34:41;;нет;нет;Мартин Софидаль / Martin Sofiedal;;Приключение неудавшегося охотника за сокровищами, который отправляется в отпуск на Майорку со своей девушкой, надеясь исправить их отношения. Вместе они находят легендарный Кинжал, который несет смерть своим обладателям.;;AVI;720x304 (2.37:1), 25 fps, XviD build 73 ~1808 kbps avg, 0.33 bit/pixel;48 kHz, AC3 Dolby Digital, 3/2 (L,C,R,l,r) + LFE ch, ~384 kbps;https://d.radikal.ru/d06/2006/12/fa2176df0a27.png
Ван Гог. На пороге вечности / At Eternity's Gate;Швейцария, Ирландия, Великобритания, Франция, США;;;;;русские, английские (full, hardsub);английский;;Уиллем Дефо, Мадс Миккельсен, Оскар Айзек, Матьё Амальрик, Руперт Френд, Эмманюэль Сенье, Нильс Ареструп, Анн Косиньи, Амира Касар, Венсан Перес;;;;720x304 (2.35:1), 23.976 fps, XviD build 73 ~2027 kbps avg, 0.39 bit/pixel;;https://i6.imageban.ru/out/2019/03/30/21b5013f45b5817996e5480006e6892a.jpg
Помешанный на времени / Time Freak;;;;;;;;;;;;;;;https://i1.imageban.ru/out/2018/12/06/fd4a7013457a378448197280615bb26e.png
Русалка на суше / Mermaid Down;США;ужасы, фэнтези, триллер, детектив;2019;01:34:38;;нет;нет;;Александра Бокова, Меган Тереза Риппи, Филлип Андре Ботельо, Эрин Ри, Берт Калвер, Кэролайн Бэмфорд, Джессика Хонор Карлтон, Эшли Корделия, Мишель Галлахер, Мелисса Луго;"""Русалок замечали в этих водах на протяжении многих сотен лет. Они выглядывают посмотреть: любопытство побеждает разум. Может, они и правда существуют?"" - такие разговоры ведут рыбаки на шхуне в Тихом океане и отправляются на охоту. И охота оказывается удачной... В их сети попадает русалка, и они решают отрубить ей хвост, перевезти и запереть в психушке. Хорошее место для пленницы, которая пытается убедить других, что она русалка. Но хорошее ли это место будет для остальных? Способны ли эти стены сдержать гнев морского создания? Начинается иная охота. И от нее сложно скрыться, особенно в воде.";;AVI;720x304 (2.37:1), 23.976 fps, XviD build 73 ~1814 kbps avg, 0.35 bit/pixel;48 kHz, AC3 Dolby Digital, 3/2 (L,C,R,l,r) + LFE ch, ~384 kbps;https://d.radikal.ru/d38/2006/03/b467a701d320.png
